ID,name,url,score,review_count
33,中華蕎麦 ひら井,https://tabelog.com/tokyo/A1326/A132602/13259078/,3.87,55
34,神保町 黒須,https://tabelog.com/tokyo/A1310/A131003/13201888/,3.86,644
35,中華そば 和渦 TOKYO,https://tabelog.com/tokyo/A1314/A131405/13233678/,3.86,385
36,麺や金時,https://tabelog.com/tokyo/A1321/A132101/13139195/,3.86,347
37,Ramen にじゅうぶんのいち,https://tabelog.com/tokyo/A1324/A132401/13147594/,3.86,338
38,MENクライ,https://tabelog.com/tokyo/A1314/A131401/13255714/,3.86,139
39,ラーメン屋 トイ・ボックス,https://tabelog.com/tokyo/A1324/A132401/13162973/,3.85,769
40,らーめん飛粋,https://tabelog.com/tokyo/A1315/A131503/13217922/,3.85,527
41,中華ソバ ビリケン,https://tabelog.com/tokyo/A1311/A131102/13235761/,3.85,214
42,中華そば  さわ,https://tabelog.com/tokyo/A1322/A132203/13229011/,3.85,131
43,博多長浜ラーメン 健太,https://tabelog.com/tokyo/A1319/A131904/13183596/,3.85,76
44,SOBA HOUSE 金色不如帰 新宿御苑本店,https://tabelog.com/tokyo/A1304/A130402/13222172/,3.84,785
45,銀座 八五,https://tabelog.com/tokyo/A1301/A130101/13228602/,3.84,702
46,神田 勝本,https://tabelog.com/tokyo/A1310/A131003/13192433/,3.84,598
47,中華そば 児ノ木,https://tabelog.com/tokyo/A1319/A131901/13154006/,3.84,296
48,一条流がんこラーメン総本家,https://tabelog.com/tokyo/A1309/A130903/13126058/,3.84,262
49,スープメン,https://tabelog.com/tokyo/A1322/A132203/13227469/,3.84,163
50,麺屋鈴春,https://tabelog.com/tokyo/A1310/A131004/13250293/,3.84,163
51,かしわぎ,https://tabelog.com/tokyo/A1319/A131901/13209326/,3.83,493
52,鶏こく中華 すず喜,https://tabelog.com/tokyo/A1320/A132002/13215409/,3.83,399
53,つけめん金龍,https://tabelog.com/tokyo/A1310/A131002/13259807/,3.83,81
54,Ramen FeeL,https://tabelog.com/tokyo/A1330/A133003/13254631/,3.83,58
55,麺屋 さくら井,https://tabelog.com/tokyo/A1320/A132002/13202438/,3.82,468
56,ラーメン巌哲,https://tabelog.com/tokyo/A1305/A130504/13167439/,3.82,403
57,らぁめん 葉月,https://tabelog.com/tokyo/A1317/A131714/13008248/,3.82,354
58,成城青果,https://tabelog.com/tokyo/A1318/A131809/13247939/,3.82,142
59,鴨出汁中華蕎麦 麺屋yoshiki,https://tabelog.com/tokyo/A1312/A131204/13242295/,3.82,129
60,中華蕎麦 蘭鋳,https://tabelog.com/tokyo/A1319/A131903/13113532/,3.81,375
61,らぁめん山と樹,https://tabelog.com/tokyo/A1319/A131904/13204607/,3.81,284
62,Japanese Soba Noodles 蔦,https://tabelog.com/tokyo/A1318/A131811/13241560/,3.81,275
63,超純水採麺 天国屋,https://tabelog.com/tokyo/A1327/A132701/13162732/,3.81,266
64,中華ソバ ちゃるめ,https://tabelog.com/tokyo/A1315/A131504/13231202/,3.81,110
65,濃厚ラーメン かなや,https://tabelog.com/tokyo/A1319/A131903/13218139/,3.81,99
66,らぁめん小池,https://tabelog.com/tokyo/A1318/A131809/13172994/,3.8,517
67,煮干そば 流。,https://tabelog.com/tokyo/A1323/A132304/13175140/,3.8,457
68,味噌っ子 ふっく,https://tabelog.com/tokyo/A1319/A131906/13226777/,3.8,149
69,六厘舎,https://tabelog.com/tokyo/A1302/A130201/13093047/,3.79,2455
70,麺屋一燈,https://tabelog.com/tokyo/A1312/A131204/13111737/,3.79,1581
71,煮干鰮らーめん 圓 八王子本店,https://tabelog.com/tokyo/A1329/A132904/13091258/,3.79,1035
72,麺屋吉左右,https://tabelog.com/tokyo/A1313/A131303/13021140/,3.79,948
73,田中商店 本店,https://tabelog.com/tokyo/A1324/A132404/13003726/,3.79,778
74,麺処 晴,https://tabelog.com/tokyo/A1311/A131104/13143115/,3.79,715
75,中華そば屋 伊藤,https://tabelog.com/tokyo/A1323/A132304/13008779/,3.79,546
76,麺処 篠はら,https://tabelog.com/tokyo/A1322/A132202/13188419/,3.79,471
77,風雲児,https://tabelog.com/tokyo/A1304/A130401/13044091/,3.78,1773
78,麺屋ひょっとこ 交通会館店,https://tabelog.com/tokyo/A1301/A130102/13046637/,3.78,1375
79,むぎとオリーブ 銀座店,https://tabelog.com/tokyo/A1301/A130101/13164932/,3.78,1342
80,はやし,https://tabelog.com/tokyo/A1303/A130301/13003367/,3.78,1154
81,こうかいぼう,https://tabelog.com/tokyo/A1313/A131303/13005052/,3.78,1120
82,銀座 朧月,https://tabelog.com/tokyo/A1301/A130101/13118141/,3.78,1069
83,麺屋 翔 本店,https://tabelog.com/tokyo/A1304/A130401/13040181/,3.78,1060
84,青島食堂 秋葉原店,https://tabelog.com/tokyo/A1310/A131001/13094776/,3.78,1024
85,麺や 七彩,https://tabelog.com/tokyo/A1302/A130203/13184399/,3.78,1004
86,ソラノイロ ARTISAN NOODLES,https://tabelog.com/tokyo/A1308/A130803/13126816/,3.78,856
87,はつね,https://tabelog.com/tokyo/A1319/A131907/13000717/,3.78,694
88,竹末東京Premium,https://tabelog.com/tokyo/A1312/A131203/13167920/,3.78,548
89,神名備,https://tabelog.com/tokyo/A1311/A131105/13006070/,3.78,495
90,たんたん亭,https://tabelog.com/tokyo/A1318/A131805/13000705/,3.78,446
91,燦燦斗,https://tabelog.com/tokyo/A1323/A132304/13038064/,3.78,417
92,喜楽,https://tabelog.com/tokyo/A1303/A130301/13001705/,3.77,1420
93,ラーメン二郎 三田本店,https://tabelog.com/tokyo/A1314/A131402/13006051/,3.77,1063
94,麺処 銀笹,https://tabelog.com/tokyo/A1301/A130103/13119563/,3.77,838
95,ラーメン大至,https://tabelog.com/tokyo/A1310/A131002/13042832/,3.77,720
96,麺屋 Hulu-lu,https://tabelog.com/tokyo/A1305/A130501/13136428/,3.77,696
97,煮干しつけ麺 宮元,https://tabelog.com/tokyo/A1315/A131503/13180862/,3.77,691
98,RAMEN CiQUE,https://tabelog.com/tokyo/A1319/A131905/13048520/,3.77,623
99,麺処 びぎ屋,https://tabelog.com/tokyo/A1317/A131702/13093976/,3.77,582
100,中華そば ふくみみ,https://tabelog.com/tokyo/A1326/A132602/13016486/,3.77,562
101,柴崎亭,https://tabelog.com/tokyo/A1326/A132601/13135162/,3.77,540
102,麺 みつヰ,https://tabelog.com/tokyo/A1311/A131102/13203387/,3.77,507
103,大島,https://tabelog.com/tokyo/A1312/A131205/13155875/,3.77,503
104,鶏そば  ムタヒロ 2号店,https://tabelog.com/tokyo/A1325/A132502/13147068/,3.77,451
105,スパイス・ラー麺 卍力 西葛西店,https://tabelog.com/tokyo/A1313/A131305/13168253/,3.77,450
106,タンタン,https://tabelog.com/tokyo/A1329/A132904/13046007/,3.77,346
107,麺屋海神 新宿店,https://tabelog.com/tokyo/A1304/A130401/13045287/,3.76,1497
108,新橋 纏,https://tabelog.com/tokyo/A1301/A130103/13156937/,3.76,1050
109,自家製麺 伊藤,https://tabelog.com/tokyo/A1323/A132305/13090799/,3.76,682
110,麺巧 潮,https://tabelog.com/tokyo/A1310/A131002/13147387/,3.76,644
111,らーめん改,https://tabelog.com/tokyo/A1311/A131103/13191776/,3.76,600
112,八咫烏,https://tabelog.com/tokyo/A1309/A130906/13198710/,3.76,592
113,八雲,https://tabelog.com/tokyo/A1317/A131705/13204333/,3.76,580
114,鯛塩そば 灯花 本店,https://tabelog.com/tokyo/A1309/A130903/13181527/,3.76,544
115,中華そば ムタヒロ  1号店,https://tabelog.com/tokyo/A1325/A132502/13131257/,3.76,475
116,麺屋 ねむ瑠,https://tabelog.com/tokyo/A1310/A131004/13186981/,3.76,469
117,ラーメン二郎 ひばりヶ丘駅前店,https://tabelog.com/tokyo/A1328/A132801/13024745/,3.76,435
118,新世界菜館,https://tabelog.com/tokyo/A1310/A131003/13000411/,3.76,431
119,RAMEN GOTTSU,https://tabelog.com/tokyo/A1321/A132102/13153294/,3.76,429
120,MENSHO,https://tabelog.com/tokyo/A1323/A132302/13203848/,3.76,404
121,食堂七彩,https://tabelog.com/tokyo/A1321/A132104/13145418/,3.76,339
122,陽はまたのぼる,https://tabelog.com/tokyo/A1324/A132404/13206995/,3.76,253
123,らぁ麺 はやし田 新宿本店,https://tabelog.com/tokyo/A1304/A130401/13216496/,3.75,1159
124,おおぜき中華そば店,https://tabelog.com/tokyo/A1303/A130302/13147623/,3.75,756
125,龍朋,https://tabelog.com/tokyo/A1309/A130905/13006446/,3.75,700
126,勝本 水道橋店,https://tabelog.com/tokyo/A1310/A131003/13179757/,3.75,688
127,大塚屋,https://tabelog.com/tokyo/A1309/A130904/13000475/,3.75,596
128,めん和正,https://tabelog.com/tokyo/A1317/A131706/13050021/,3.75,542
129,牛骨らぁ麺マタドール,https://tabelog.com/tokyo/A1324/A132402/13128987/,3.75,527
130,鳥めし 鳥藤分店,https://tabelog.com/tokyo/A1313/A131301/13037973/,3.75,495
131,らぁ麺やまぐち 辣式,https://tabelog.com/tokyo/A1313/A131303/13186890/,3.75,420
132,麺壱 吉兆,https://tabelog.com/tokyo/A1315/A131501/13134691/,3.75,401
133,中華そば しながわ,https://tabelog.com/tokyo/A1322/A132202/13157559/,3.75,396
134,中華そば さとう,https://tabelog.com/tokyo/A1315/A131504/13132475/,3.75,354
135,純手打ち 麺と未来,https://tabelog.com/tokyo/A1318/A131802/13221486/,3.75,351
136,麺屋 はし本,https://tabelog.com/tokyo/A1319/A131902/13205769/,3.75,307
137,クラム＆ボニート 貝節麺ライク,https://tabelog.com/tokyo/A1319/A131903/13219341/,3.75,275
138,春木屋 荻窪本店,https://tabelog.com/tokyo/A1319/A131906/13001099/,3.74,793
139,つじ田 神田御茶ノ水店,https://tabelog.com/tokyo/A1310/A131002/13020599/,3.74,770
140,粋な一生,https://tabelog.com/tokyo/A1310/A131001/13021102/,3.74,723
141,真鯛らーめん 麺魚 本店,https://tabelog.com/tokyo/A1312/A131201/13208237/,3.74,701
142,自家製麺 伊藤 銀座店,https://tabelog.com/tokyo/A1301/A130101/13164387/,3.74,625
143,中華そば 満鶏軒,https://tabelog.com/tokyo/A1312/A131201/13220773/,3.74,577
144,麺や 庄の,https://tabelog.com/tokyo/A1309/A130904/13126304/,3.74,577
145,渡なべ,https://tabelog.com/tokyo/A1305/A130503/13000121/,3.74,560
146,博多ラーメン ばりこて,https://tabelog.com/tokyo/A1319/A131904/13009232/,3.74,548
147,五ノ神水産,https://tabelog.com/tokyo/A1310/A131002/13163444/,3.74,532
148,味噌麺処 花道,https://tabelog.com/tokyo/A1321/A132104/13055183/,3.74,480
149,なな蓮,https://tabelog.com/tokyo/A1302/A130202/13162497/,3.74,467
150,ラーメン二郎 八王子野猿街道店 ２,https://tabelog.com/tokyo/A1329/A132904/13025633/,3.74,462
151,千里眼,https://tabelog.com/tokyo/A1318/A131811/13099150/,3.74,453
152,らーめん 稲荷屋,https://tabelog.com/tokyo/A1311/A131101/13180646/,3.74,443
153,麺や 維新,https://tabelog.com/tokyo/A1316/A131601/13161626/,3.74,441
154,無鉄砲 東京中野店,https://tabelog.com/tokyo/A1321/A132104/13114507/,3.74,415
155,中華めん処 道頓堀,https://tabelog.com/tokyo/A1322/A132204/13003812/,3.74,373
156,めだかタンタン,https://tabelog.com/tokyo/A1329/A132902/13172508/,3.74,315
157,亀戸煮干中華蕎麦つきひ,https://tabelog.com/tokyo/A1312/A131202/13217695/,3.74,232
158,らあめん 満来,https://tabelog.com/tokyo/A1304/A130401/13000808/,3.73,879
159,らーめん 鴨to葱,https://tabelog.com/tokyo/A1311/A131101/13210392/,3.73,706
160,自家製麺 MENSHO TOKYO,https://tabelog.com/tokyo/A1310/A131003/13171239/,3.73,580
161,餃子の王さま,https://tabelog.com/tokyo/A1311/A131102/13016814/,3.73,546
162,鏡花,https://tabelog.com/tokyo/A1329/A132901/13005986/,3.73,494
163,麺酒処 ぶらり,https://tabelog.com/tokyo/A1311/A131105/13041644/,3.73,377
164,無銘,https://tabelog.com/tokyo/A1310/A131002/13151994/,3.73,375
165,中華そば いづる,https://tabelog.com/tokyo/A1314/A131401/13204179/,3.73,358
166,麺恋処 いそじ,https://tabelog.com/tokyo/A1304/A130403/13041621/,3.73,357
167,麺処 夏海,https://tabelog.com/tokyo/A1323/A132305/13135990/,3.73,348
168,楽観 NISHIAZABU GOLD,https://tabelog.com/tokyo/A1307/A130701/13191934/,3.73,341
169,丸長中華そば店,https://tabelog.com/tokyo/A1319/A131906/13013584/,3.73,330
170,ろく月,https://tabelog.com/tokyo/A1311/A131103/13161632/,3.73,319
171,中華そば 吾衛門,https://tabelog.com/tokyo/A1329/A132904/13019588/,3.73,258
172,井田商店,https://tabelog.com/tokyo/A1317/A131712/13091706/,3.73,241
173,中華そば　葉山,https://tabelog.com/tokyo/A1309/A130903/13174173/,3.73,226
174,らーめん天神下 大喜,https://tabelog.com/tokyo/A1310/A131001/13208678/,3.73,223
175,支那そば大和 稲荷町店,https://tabelog.com/tokyo/A1311/A131101/13206756/,3.73,196
176,麺屋KABOちゃん,https://tabelog.com/tokyo/A1323/A132301/13151928/,3.73,179
177,函館塩ラーメン 五稜郭,https://tabelog.com/tokyo/A1319/A131906/13154596/,3.73,161
178,ボニートスープヌードルライク,https://tabelog.com/tokyo/A1318/A131805/13183147/,3.73,160
179,麺処 一笑,https://tabelog.com/tokyo/A1319/A131905/13190790/,3.73,142
180,支那麺 はしご 本店,https://tabelog.com/tokyo/A1301/A130101/13092185/,3.72,1035
181,麺処 花田 池袋店,https://tabelog.com/tokyo/A1305/A130501/13109890/,3.72,897
182,東京スタイルみそらーめん ど・みそ  京橋本店,https://tabelog.com/tokyo/A1301/A130101/13031470/,3.72,795
183,焼きあご塩らー麺 たかはし 新宿本店,https://tabelog.com/tokyo/A1304/A130401/13178753/,3.72,794
184,馳走麺 狸穴,https://tabelog.com/tokyo/A1305/A130501/13101471/,3.72,743
185,トナリ 丸の内店,https://tabelog.com/tokyo/A1302/A130201/13111899/,3.72,727
186,中華そば 青葉 中野本店,https://tabelog.com/tokyo/A1319/A131902/13001092/,3.72,727
187,神田ラーメン わいず,https://tabelog.com/tokyo/A1310/A131002/13004111/,3.72,663
188,希須林 担々麺屋 赤坂店,https://tabelog.com/tokyo/A1308/A130801/13020232/,3.72,619
189,永楽,https://tabelog.com/tokyo/A1315/A131501/13001868/,3.72,595
190,鶏ポタ　ラーメン THANK,https://tabelog.com/tokyo/A1314/A131401/13135731/,3.72,578
191,ラーメン二郎 目黒店,https://tabelog.com/tokyo/A1316/A131601/13003449/,3.72,575
192,煮干中華そば鈴蘭,https://tabelog.com/tokyo/A1304/A130401/13141542/,3.72,555
193,カラシビ味噌らー麺・つけ麺 鬼金棒,https://tabelog.com/tokyo/A1310/A131002/13097205/,3.72,507
194,佐市,https://tabelog.com/tokyo/A1312/A131201/13147184/,3.72,505
195,麺屋 武一,https://tabelog.com/tokyo/A1301/A130103/13143712/,3.72,490
196,鶏そば 三歩一,https://tabelog.com/tokyo/A1305/A130503/13134126/,3.72,470
197,らぁ麺 胡心房,https://tabelog.com/tokyo/A1327/A132701/13025459/,3.72,470
198,田中そば店 秋葉原店,https://tabelog.com/tokyo/A1311/A131101/13137336/,3.72,460
199,和利道,https://tabelog.com/tokyo/A1317/A131705/13096566/,3.72,443
200,かづ屋,https://tabelog.com/tokyo/A1316/A131601/13003195/,3.72,439
